epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,93.3788,1.22817,0.8621,0.00397,0.87609,0.72117,0.90222,0.61783,1.34027,0.86527,0.00575,0.00144145,0.00144145,0.00144145
43,95.5163,1.19921,0.84284,0.0043,0.94603,0.67619,0.87397,0.55341,1.43915,0.99392,0.0062,0.00143595,0.00143595,0.00143595
44,97.6838,1.18904,0.84342,0.00417,0.95501,0.74547,0.8961,0.53847,1.58602,0.91479,0.00675,0.00143045,0.00143045,0.00143045
45,99.9088,1.17828,0.78913,0.00409,0.82197,0.8164,0.84912,0.50561,1.60232,0.96235,0.00677,0.00142495,0.00142495,0.00142495
46,102.138,1.1962,0.76755,0.00385,0.83362,0.86569,0.90034,0.4904,1.68524,0.83578,0.00727,0.00141945,0.00141945,0.00141945
47,104.436,1.2744,0.82827,0.004,0.75852,0.89554,0.86804,0.55668,1.48521,0.89181,0.00624,0.00141395,0.00141395,0.00141395
48,106.709,1.23926,0.79576,0.00417,0.84056,0.75352,0.87247,0.55394,1.53744,1.02475,0.00649,0.00140845,0.00140845,0.00140845
49,109.007,1.27496,0.83478,0.00427,0.96789,0.74332,0.89938,0.57695,1.52192,0.83914,0.00649,0.00140295,0.00140295,0.00140295
50,111.222,1.21559,0.81986,0.0041,0.83516,0.79139,0.89473,0.58684,1.43594,0.78825,0.00603,0.00139745,0.00139745,0.00139745
51,113.472,1.1824,0.77255,0.0037,0.79919,0.85029,0.90006,0.56136,1.49128,0.82642,0.00632,0.00139195,0.00139195,0.00139195
52,115.665,1.26528,0.75462,0.00404,0.78975,0.7316,0.85762,0.48656,1.71044,0.94021,0.00729,0.00138644,0.00138644,0.00138644
53,117.867,1.16142,0.71955,0.00397,0.74566,0.79582,0.85003,0.50682,1.62377,1.02461,0.00689,0.00138094,0.00138094,0.00138094
54,120.087,1.17507,0.7337,0.00377,0.89108,0.74098,0.88201,0.52056,1.64256,0.92183,0.00702,0.00137544,0.00137544,0.00137544
55,122.245,1.20616,0.79168,0.00363,0.83636,0.85032,0.87796,0.50175,1.65535,0.9931,0.00703,0.00136994,0.00136994,0.00136994
56,124.423,1.14095,0.74648,0.00376,0.89413,0.77465,0.88559,0.54899,1.46201,1.03819,0.00624,0.00136444,0.00136444,0.00136444
57,126.673,1.16714,0.7823,0.0037,0.74541,0.83803,0.87469,0.55177,1.46343,1.10771,0.00626,0.00135894,0.00135894,0.00135894
58,128.886,1.14906,0.7236,0.00397,0.88179,0.83099,0.89413,0.53163,1.55589,0.93954,0.00662,0.00135344,0.00135344,0.00135344
59,131.036,1.18538,0.73824,0.00388,0.86649,0.80865,0.89773,0.56121,1.47384,0.97379,0.00634,0.00134794,0.00134794,0.00134794
60,133.263,1.1091,0.69957,0.00364,0.83102,0.84621,0.89676,0.55121,1.51242,0.84878,0.00647,0.00134244,0.00134244,0.00134244
61,135.458,1.18916,0.7106,0.00363,0.87103,0.76515,0.89137,0.53518,1.554,0.92976,0.00665,0.00133693,0.00133693,0.00133693
