epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.31753,1.6347,5.75617,0.0058,0.00292,0.27817,0.0106,0.00143,1.1585,4.83237,0.00485,0.00031673,0.00031673,0.00031673
2,5.61653,1.52104,4.4117,0.0049,0.04756,0.85865,0.46511,0.30198,1.08986,4.24527,0.00448,0.000647985,0.000647985,0.000647985
3,7.83303,1.47527,3.88056,0.00487,0.03986,0.9507,0.6383,0.41946,1.16372,3.85235,0.00493,0.000977039,0.000977039,0.000977039
4,10.132,1.61673,3.62665,0.00527,0.76597,0.36396,0.66081,0.39068,1.44745,3.50975,0.00628,0.00130389,0.00130389,0.00130389
5,12.3881,1.56945,3.63024,0.00581,0.63692,0.49374,0.58869,0.31643,1.5478,3.00063,0.0067,0.00162855,0.00162855,0.00162855
6,14.6566,1.39615,3.07777,0.00478,0.65537,0.54728,0.64413,0.36001,1.54865,2.8452,0.00668,0.00163949,0.00163949,0.00163949
7,16.8581,1.4417,2.9277,0.00521,0.88395,0.58031,0.75411,0.42489,1.5755,2.47484,0.007,0.00163399,0.00163399,0.00163399
8,19.0526,1.43847,2.69145,0.00497,0.76932,0.7671,0.81862,0.45164,1.75038,2.24146,0.00747,0.00162849,0.00162849,0.00162849
9,21.3336,1.4771,2.49983,0.00497,0.72058,0.79237,0.80788,0.47742,1.64667,2.11024,0.00722,0.00162299,0.00162299,0.00162299
10,23.6366,1.43079,2.387,0.00481,0.76281,0.67404,0.76404,0.4492,1.52671,1.99047,0.00666,0.00161749,0.00161749,0.00161749
11,25.8701,1.43349,2.21936,0.00488,0.78558,0.68813,0.80938,0.51193,1.51776,1.94327,0.00659,0.00161199,0.00161199,0.00161199
12,28.0656,1.39228,2.1261,0.00474,0.77915,0.63149,0.77293,0.50302,1.38204,2.21997,0.00606,0.00160649,0.00160649,0.00160649
13,30.3451,1.39859,2.03366,0.00513,0.86977,0.64561,0.80702,0.51731,1.43106,1.8977,0.00615,0.00160099,0.00160099,0.00160099
14,32.5461,1.40981,1.81556,0.00471,0.81767,0.67266,0.80845,0.45121,1.69418,1.69133,0.00717,0.00159549,0.00159549,0.00159549
15,34.6401,1.46967,1.80749,0.00464,0.63526,0.79577,0.81845,0.44993,1.69504,1.66643,0.0073,0.00158998,0.00158998,0.00158998
16,36.7701,1.43439,1.70899,0.00502,0.78113,0.70721,0.75466,0.4212,1.6367,1.59487,0.00705,0.00158448,0.00158448,0.00158448
17,38.9516,1.32926,1.58118,0.00513,0.88951,0.67505,0.86774,0.53908,1.46123,1.44416,0.00638,0.00157898,0.00157898,0.00157898
18,41.1136,1.41654,1.56753,0.00491,0.84733,0.76761,0.87274,0.54824,1.43076,1.42321,0.00613,0.00157348,0.00157348,0.00157348
19,43.297,1.43574,1.54055,0.00465,0.68932,0.80231,0.85885,0.51711,1.50663,1.27397,0.00647,0.00156798,0.00156798,0.00156798
20,45.448,1.35915,1.47755,0.00441,0.90075,0.77058,0.88601,0.5452,1.44279,1.13637,0.00618,0.00156248,0.00156248,0.00156248
21,47.5984,1.35392,1.38313,0.00457,0.88272,0.88165,0.91588,0.61277,1.33267,1.01623,0.00572,0.00155698,0.00155698,0.00155698
22,49.7689,1.33687,1.35398,0.00454,0.8211,0.73199,0.86998,0.53912,1.44763,1.21061,0.00634,0.00155148,0.00155148,0.00155148
23,51.9159,1.34185,1.26616,0.00441,0.78165,0.83344,0.90403,0.59116,1.37239,1.02788,0.00603,0.00154598,0.00154598,0.00154598
24,54.0574,1.35805,1.23928,0.00447,0.79453,0.79443,0.85883,0.521,1.54059,1.09695,0.00682,0.00154047,0.00154047,0.00154047
25,56.1869,1.29857,1.17599,0.00458,0.89277,0.71728,0.83629,0.50285,1.59431,0.95142,0.00682,0.00153497,0.00153497,0.00153497
26,58.3506,1.34839,1.16412,0.0049,0.80824,0.78553,0.88084,0.53536,1.62936,0.94124,0.00686,0.00152947,0.00152947,0.00152947
27,60.5051,1.28635,1.14596,0.0044,0.8613,0.74997,0.88304,0.5273,1.58786,0.98176,0.0068,0.00152397,0.00152397,0.00152397
28,62.6431,1.31132,1.1286,0.00493,0.84846,0.78875,0.89245,0.52508,1.579,1.08292,0.00678,0.00151847,0.00151847,0.00151847
29,64.7724,1.2594,1.05748,0.00423,0.87114,0.78169,0.89025,0.54859,1.51646,1.15953,0.00656,0.00151297,0.00151297,0.00151297
30,66.928,1.22763,1.01122,0.00429,0.7562,0.64688,0.79208,0.50714,1.38799,1.27062,0.00598,0.00150747,0.00150747,0.00150747
31,69.0755,1.26423,1.07982,0.00429,0.7265,0.80615,0.86293,0.56304,1.36842,0.98447,0.00596,0.00150197,0.00150197,0.00150197
32,71.2259,1.31239,1.05933,0.00427,0.69887,0.83111,0.89296,0.55777,1.42101,1.02051,0.00615,0.00149647,0.00149647,0.00149647
33,73.3897,1.35483,1.03034,0.00453,0.97472,0.71026,0.89511,0.53199,1.60065,0.87114,0.00686,0.00149096,0.00149096,0.00149096
34,75.5537,1.22926,0.99349,0.00442,0.89257,0.71421,0.87598,0.51228,1.57993,1.17454,0.00677,0.00148546,0.00148546,0.00148546
35,77.6927,1.31106,0.9667,0.00388,0.90779,0.71662,0.91638,0.5287,1.61381,0.85694,0.00688,0.00147996,0.00147996,0.00147996
36,79.8562,1.19483,0.9459,0.00435,0.811,0.82344,0.89885,0.56532,1.54108,0.8429,0.00653,0.00147446,0.00147446,0.00147446
37,81.9977,1.26053,0.96298,0.00393,0.83683,0.78119,0.86606,0.58551,1.43767,1.01448,0.00602,0.00146896,0.00146896,0.00146896
38,84.1737,1.29314,1.01253,0.00403,0.91767,0.7168,0.85352,0.57601,1.30871,0.89124,0.00554,0.00146346,0.00146346,0.00146346
39,86.3307,1.26653,0.88223,0.00407,0.93953,0.70011,0.88501,0.56835,1.4174,0.99017,0.00611,0.00145796,0.00145796,0.00145796
40,88.4838,1.34101,0.94836,0.00395,0.79347,0.84628,0.89981,0.56061,1.53977,0.86668,0.00665,0.00145246,0.00145246,0.00145246
41,90.6018,1.2131,0.85046,0.0041,0.75126,0.84457,0.90801,0.59132,1.4159,0.80084,0.00606,0.00144696,0.00144696,0.00144696
42,92.7503,1.22817,0.8621,0.00397,0.87609,0.72117,0.90222,0.61783,1.34027,0.86527,0.00575,0.00144145,0.00144145,0.00144145
43,94.9028,1.19921,0.84284,0.0043,0.94603,0.67619,0.87397,0.55341,1.43915,0.99392,0.0062,0.00143595,0.00143595,0.00143595
44,97.0262,1.18904,0.84342,0.00417,0.95501,0.74547,0.8961,0.53847,1.58602,0.91479,0.00675,0.00143045,0.00143045,0.00143045
45,99.1197,1.17828,0.78913,0.00409,0.82197,0.8164,0.84912,0.50561,1.60232,0.96235,0.00677,0.00142495,0.00142495,0.00142495
46,101.274,1.1962,0.76755,0.00385,0.83362,0.86569,0.90034,0.4904,1.68524,0.83578,0.00727,0.00141945,0.00141945,0.00141945
47,103.475,1.2744,0.82827,0.004,0.75852,0.89554,0.86804,0.55668,1.48521,0.89181,0.00624,0.00141395,0.00141395,0.00141395
48,105.623,1.23926,0.79576,0.00417,0.84056,0.75352,0.87247,0.55394,1.53744,1.02475,0.00649,0.00140845,0.00140845,0.00140845
49,107.766,1.27496,0.83478,0.00427,0.96789,0.74332,0.89938,0.57695,1.52192,0.83914,0.00649,0.00140295,0.00140295,0.00140295
50,109.887,1.21559,0.81986,0.0041,0.83516,0.79139,0.89473,0.58684,1.43594,0.78825,0.00603,0.00139745,0.00139745,0.00139745
51,112.059,1.1824,0.77255,0.0037,0.79919,0.85029,0.90006,0.56136,1.49128,0.82642,0.00632,0.00139195,0.00139195,0.00139195
52,114.229,1.26528,0.75462,0.00404,0.78975,0.7316,0.85762,0.48656,1.71044,0.94021,0.00729,0.00138644,0.00138644,0.00138644
53,116.41,1.16142,0.71955,0.00397,0.74566,0.79582,0.85003,0.50682,1.62377,1.02461,0.00689,0.00138094,0.00138094,0.00138094
54,118.581,1.17507,0.7337,0.00377,0.89108,0.74098,0.88201,0.52056,1.64256,0.92183,0.00702,0.00137544,0.00137544,0.00137544
55,120.736,1.20616,0.79168,0.00363,0.83636,0.85032,0.87796,0.50175,1.65535,0.9931,0.00703,0.00136994,0.00136994,0.00136994
56,122.92,1.14095,0.74648,0.00376,0.89413,0.77465,0.88559,0.54899,1.46201,1.03819,0.00624,0.00136444,0.00136444,0.00136444
57,125.074,1.16714,0.7823,0.0037,0.74541,0.83803,0.87469,0.55177,1.46343,1.10771,0.00626,0.00135894,0.00135894,0.00135894
58,127.227,1.14906,0.7236,0.00397,0.88179,0.83099,0.89413,0.53163,1.55589,0.93954,0.00662,0.00135344,0.00135344,0.00135344
59,129.371,1.18538,0.73824,0.00388,0.86649,0.80865,0.89773,0.56121,1.47384,0.97379,0.00634,0.00134794,0.00134794,0.00134794
60,131.507,1.1091,0.69957,0.00364,0.83102,0.84621,0.89676,0.55121,1.51242,0.84878,0.00647,0.00134244,0.00134244,0.00134244
61,133.681,1.18916,0.7106,0.00363,0.87103,0.76515,0.89137,0.53518,1.554,0.92976,0.00665,0.00133693,0.00133693,0.00133693
62,135.827,1.11275,0.69391,0.00367,0.90215,0.7671,0.88928,0.52984,1.5951,0.87462,0.00674,0.00133143,0.00133143,0.00133143
63,137.982,1.09224,0.66071,0.00366,0.76157,0.78823,0.87653,0.5478,1.51118,0.88374,0.00639,0.00132593,0.00132593,0.00132593
64,140.126,1.12107,0.74087,0.00357,0.76092,0.82394,0.87358,0.55903,1.47933,0.99113,0.00625,0.00132043,0.00132043,0.00132043
65,142.236,1.07943,0.61508,0.00378,0.83337,0.84866,0.90143,0.53237,1.59537,0.86427,0.00673,0.00131493,0.00131493,0.00131493
66,144.39,1.07546,0.62531,0.00369,0.85363,0.86213,0.92674,0.51716,1.63488,0.81382,0.00689,0.00130943,0.00130943,0.00130943
67,146.553,1.13895,0.70547,0.00393,0.85742,0.85211,0.90751,0.58551,1.45416,0.77944,0.00614,0.00130393,0.00130393,0.00130393
68,148.679,1.12314,0.68193,0.0037,0.83369,0.82394,0.89453,0.55723,1.42946,0.86159,0.0061,0.00129843,0.00129843,0.00129843
69,150.818,1.08541,0.65574,0.00396,0.90556,0.76006,0.89834,0.55487,1.46203,0.88885,0.00621,0.00129293,0.00129293,0.00129293
70,152.936,1.10335,0.67933,0.0037,0.82697,0.83099,0.9165,0.56501,1.50686,0.88767,0.00638,0.00128742,0.00128742,0.00128742
71,155.071,1.15594,0.70166,0.00362,0.9359,0.81473,0.92538,0.58883,1.4554,0.77785,0.00614,0.00128192,0.00128192,0.00128192
72,157.225,1.12252,0.65147,0.00386,0.9335,0.77777,0.90364,0.54097,1.54772,0.92259,0.00661,0.00127642,0.00127642,0.00127642
73,159.346,1.10228,0.61301,0.00358,0.86813,0.77414,0.89218,0.52748,1.60096,0.96023,0.00677,0.00127092,0.00127092,0.00127092
74,161.502,1.08985,0.61887,0.00372,0.86541,0.90288,0.92515,0.53844,1.63344,0.75797,0.00694,0.00126542,0.00126542,0.00126542
75,163.686,1.2217,0.70372,0.00351,0.91422,0.8559,0.90946,0.55346,1.52602,0.82045,0.00648,0.00125992,0.00125992,0.00125992
76,165.843,1.02192,0.61064,0.00332,0.91385,0.77842,0.9108,0.58233,1.46736,0.85144,0.00615,0.00125442,0.00125442,0.00125442
77,168.017,1.11682,0.67324,0.00352,0.81034,0.83048,0.87389,0.55577,1.46779,0.95253,0.0062,0.00124892,0.00124892,0.00124892
78,170.146,1.18773,0.7026,0.00365,0.83093,0.86746,0.89799,0.55412,1.54078,0.86079,0.00645,0.00124342,0.00124342,0.00124342
79,172.275,1.03867,0.61401,0.00352,0.83054,0.83682,0.89885,0.5608,1.56141,0.86783,0.00653,0.00123791,0.00123791,0.00123791
80,174.408,1.10203,0.60379,0.00342,0.82951,0.83881,0.87565,0.51005,1.67979,0.90993,0.00715,0.00123241,0.00123241,0.00123241
81,176.566,1.07675,0.62662,0.00359,0.93496,0.74537,0.88777,0.53576,1.58096,0.88277,0.00678,0.00122691,0.00122691,0.00122691
82,178.72,1.06374,0.61627,0.00337,0.77693,0.8372,0.89505,0.5334,1.57281,0.83514,0.00673,0.00122141,0.00122141,0.00122141
83,180.865,1.07571,0.61467,0.00345,0.74592,0.87321,0.86532,0.50565,1.57416,0.96113,0.00673,0.00121591,0.00121591,0.00121591
84,183.016,1.11049,0.57653,0.00332,0.83145,0.82175,0.88913,0.53801,1.51503,0.93872,0.00646,0.00121041,0.00121041,0.00121041
85,185.211,1.03797,0.58266,0.00321,0.82291,0.81379,0.90334,0.54271,1.52748,0.91993,0.00653,0.00120491,0.00120491,0.00120491
86,187.355,1.06001,0.59396,0.00339,0.90389,0.78608,0.89955,0.55419,1.44938,0.95208,0.00614,0.00119941,0.00119941,0.00119941
87,189.527,1.05711,0.60957,0.00335,0.79235,0.8941,0.9217,0.57089,1.48631,0.84354,0.00633,0.00119391,0.00119391,0.00119391
88,191.692,1.13234,0.61621,0.00332,0.93379,0.75399,0.91498,0.56359,1.47296,0.87522,0.00628,0.0011884,0.0011884,0.0011884
89,193.839,1.00463,0.54307,0.00346,0.89104,0.82344,0.9249,0.56056,1.47303,0.79632,0.00629,0.0011829,0.0011829,0.0011829
90,195.985,1.0338,0.55449,0.00344,0.95907,0.82344,0.9439,0.58761,1.41288,0.71173,0.00609,0.0011774,0.0011774,0.0011774
91,198.144,1.05542,0.55938,0.00336,0.80958,0.88732,0.9199,0.58351,1.44051,0.78467,0.0062,0.0011719,0.0011719,0.0011719
92,200.325,1.0599,0.56917,0.00332,0.90432,0.80936,0.93149,0.59093,1.46926,0.73488,0.00622,0.0011664,0.0011664,0.0011664
